month,year,category,revenue_usd,units_sold,avg_transaction_value,online_pct,store_count,customer_satisfaction_score,return_rate_pct
January,2021,Electronics,4250000,18200,233.52,38.2,142,7.8,8.3
February,2021,Electronics,3980000,17100,232.75,39.1,142,7.9,8.1
March,2021,Electronics,4710000,20200,233.17,41.3,143,8.0,7.9
April,2021,Electronics,4890000,20900,234.02,43.5,143,8.1,7.7
May,2021,Electronics,5120000,21800,234.86,44.2,144,8.2,7.6
June,2021,Electronics,5340000,22700,235.24,45.1,144,8.3,7.4
July,2021,Electronics,5180000,21900,236.53,45.8,145,8.2,7.5
August,2021,Electronics,5420000,22900,236.68,46.3,145,8.3,7.3
September,2021,Electronics,5670000,23900,237.24,47.1,146,8.4,7.2
October,2021,Electronics,6120000,25800,237.21,47.8,146,8.5,7.1
November,2021,Electronics,8450000,35200,240.06,49.2,147,8.6,8.9
December,2021,Electronics,9870000,40800,241.91,50.1,147,8.4,9.2
January,2022,Electronics,4560000,18900,241.27,51.3,148,8.3,8.0
February,2022,Electronics,4320000,17800,242.70,52.1,148,8.4,7.8
March,2022,Electronics,5100000,20900,243.97,53.2,149,8.5,7.6
April,2022,Electronics,5380000,22000,244.55,54.1,149,8.6,7.5
May,2022,Electronics,5620000,22900,245.41,54.8,150,8.7,7.3
June,2022,Electronics,5890000,23900,246.44,55.6,150,8.8,7.2
July,2022,Electronics,5710000,23100,247.19,56.2,151,8.7,7.3
August,2022,Electronics,5980000,24100,248.09,56.9,151,8.8,7.1
September,2022,Electronics,6230000,25100,248.21,57.5,152,8.9,7.0
October,2022,Electronics,6780000,27200,249.26,58.1,152,9.0,6.9
November,2022,Electronics,9120000,36400,250.55,59.3,153,8.8,8.7
December,2022,Electronics,10650000,42500,250.59,60.2,153,8.6,9.0
January,2023,Electronics,4890000,19400,252.06,61.3,154,8.5,7.8
February,2023,Electronics,4650000,18400,252.72,62.1,154,8.6,7.6
March,2023,Electronics,5480000,21700,252.53,63.0,155,8.7,7.4
April,2023,Electronics,5760000,22700,253.74,63.8,155,8.8,7.3
May,2023,Electronics,6020000,23700,253.97,64.5,156,8.9,7.1
June,2023,Electronics,6310000,24800,254.44,65.2,156,9.0,7.0
July,2023,Electronics,6130000,24000,255.42,65.9,157,8.9,7.1
August,2023,Electronics,6420000,25100,255.78,66.5,157,9.0,6.9
September,2023,Electronics,6690000,26100,256.32,67.1,158,9.1,6.8
October,2023,Electronics,7250000,28200,257.09,67.8,158,9.2,6.7
November,2023,Electronics,9830000,38100,258.01,68.9,159,9.0,8.5
December,2023,Electronics,11470000,44300,258.92,69.8,159,8.8,8.8
January,2021,Apparel,2180000,32700,66.67,29.3,142,7.6,12.4
February,2021,Apparel,2340000,35100,66.67,30.1,142,7.7,12.2
March,2021,Apparel,2890000,43300,66.74,32.4,143,7.8,12.0
April,2021,Apparel,3120000,46600,66.95,33.8,143,7.9,11.8
May,2021,Apparel,3450000,51400,67.12,35.2,144,8.0,11.6
June,2021,Apparel,3680000,54700,67.28,36.1,144,8.1,11.4
July,2021,Apparel,3210000,47600,67.44,36.8,145,8.0,11.5
August,2021,Apparel,3540000,52300,67.69,37.5,145,8.1,11.3
September,2021,Apparel,3120000,45900,67.97,38.2,146,8.0,11.4
October,2021,Apparel,2980000,43700,68.19,38.9,146,8.1,11.2
November,2021,Apparel,4560000,66700,68.37,40.2,147,8.2,13.1
December,2021,Apparel,5230000,76300,68.55,41.0,147,8.0,13.4
January,2022,Apparel,2340000,33900,69.03,42.1,148,7.9,12.2
February,2022,Apparel,2510000,36200,69.34,42.9,148,8.0,12.0
March,2022,Apparel,3120000,44800,69.64,44.1,149,8.1,11.8
April,2022,Apparel,3360000,48100,69.85,45.0,149,8.2,11.6
May,2022,Apparel,3720000,53100,70.06,45.8,150,8.3,11.4
June,2022,Apparel,3970000,56500,70.27,46.6,150,8.4,11.2
July,2022,Apparel,3460000,49100,70.47,47.3,151,8.3,11.3
